UPI_Remitter_Banks,Date,Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Debit_Reversal_Success_percent,Total_Debit_Reversal_Count_In_Million,Total_Volume_In_Million
Punjab and Sind Bank,2024-06-01 00:00:00,0.9227,0.0746,0.0027,0.8999,0.22,38.32
UCO Bank,2024-08-01 00:00:00,0.9229,0.0759,0.0012,0.8965,0.77,200.84
Indian Overseas Bank,2023-07-01 00:00:00,0.9231,0.045,0.0319,1,0.977749,132.05
IDFC First Bank,2022-08-01 00:00:00,0.9231,0.0584,0.0185,61.57,0.19,47.41
RBL,2023-05-01 00:00:00,0.9231,0.0669,0.0099,0.7709,0.04,12.1
Bank of India,2023-11-01 00:00:00,0.9232,0.0372,0.0396,0.43,3.21,366.39
Canara Bank,2024-11-01 00:00:00,0.9232,0.0725,0.0043,0.7906,2.87,760.29
IndusInd Bank,2024-05-01 00:00:00,0.9232,0.0738,0.0031,0.9788,0.96,150.37
Jammu and Kashmir Bank,2023-08-01 00:00:00,0.9235,0.0588,0.0177,0.01,0.21,35.95
Bank of Baroda,2024-07-01 00:00:00,0.9235,0.0706,0.0059,0.8884,3.76,954.81
South Indian Bank,2022-07-01 00:00:00,0.9236,0.0674,0.009,0,0,26.24
RBL,2024-10-01 00:00:00,0.9236,0.0733,0.0031,0.7665,0.1,23.06
Kerala Gramin Bank,2024-04-01 00:00:00,0.9237,0.0621,0.0142,0.5983,0.2,27.5
Karur Vysya Bank,2023-01-01 00:00:00,0.9238,0.0694,0.0068,0.7974,0.19,43.55
Tamilnad Mercantile Bank,2024-05-01 00:00:00,0.9238,0.0719,0.0044,0.793,0.12,38.01
Kotak Mahindra Bank,2022-05-01 00:00:00,0.924,0.0556,0.0203,0.9351,2.45,247.84
Bank of Baroda,2022-06-01 00:00:00,0.924,0.0642,0.0117,0.8345,3.9,383.61
Baroda U.P. Bank,2024-10-01 00:00:00,0.9241,0.061,0.0148,0,0,31.14
IDFC First Bank,2023-03-01 00:00:00,0.9241,0.0639,0.012,0.6752,0.3,65.54
IDFC First Bank,2024-10-01 00:00:00,0.9241,0.0714,0.0044,0.4229,0.71,99.72
Tamilnad Mercantile Bank,2022-09-01 00:00:00,0.9241,0.0745,0.0014,0.7782,0.04,17.19
Bank of Baroda,2022-02-01 00:00:00,0.9242,0.0689,0.0069,0.9692,1.83,294.86
Kotak Mahindra Bank,2024-08-01 00:00:00,0.9243,0.0748,0.0009,0.9351,2.03,772.93
Indian Overseas Bank,2024-08-01 00:00:00,0.9244,0.0592,0.0164,0.9049,1.05,217.93
UCO Bank,2022-05-01 00:00:00,0.9244,0.0639,0.0117,0.6656,0.48,66.2
RBL,2023-03-01 00:00:00,0.9244,0.068,0.0077,0.836,0,11.99
Bank of Maharashtra,2024-05-01 00:00:00,0.9245,0.0548,0.0206,0.5734,1.14,152.68
Indian Bank,2022-05-01 00:00:00,0.9245,0.0676,0.0079,0.7752,0.84,150.62
Bank of Baroda,2024-08-01 00:00:00,0.9245,0.0695,0.006,0.9542,3.26,985.86
State Bank of India,2023-03-01 00:00:00,0.9246,0.0509,0.0245,0.8961,15.95,2260.05
Bandhan Bank,2024-04-01 00:00:00,0.9246,0.0573,0.0181,0.969,0.32,55.96
Equitas Bank,2024-03-01 00:00:00,0.9246,0.0726,0.0028,0.9621,0.17,32.26
Canara Bank,2022-11-01 00:00:00,0.9247,0.0632,0.0121,0.7291,1.34,332.82
Kerala Gramin Bank,2024-10-01 00:00:00,0.9247,0.0668,0.0085,0.8693,0.23,38.22
Canara Bank,2022-01-01 00:00:00,0.9247,0.0705,0.0047,0.9299,1.26,206.3
Union Bank of India,2022-11-01 00:00:00,0.9247,0.0707,0.0046,0.7857,2.04,447.27
DBS Bank,2022-03-01 00:00:00,0.9248,0.055,0.0202,0.9168,0.09,19.26
Punjab National Bank,2022-11-01 00:00:00,0.9248,0.0561,0.019,0.7731,1.21,328.34
South Indian Bank,2022-03-01 00:00:00,0.9248,0.0711,0.004,0.9224,0.11,22.87
Union Bank of India,2024-11-01 00:00:00,0.9248,0.0729,0.0023,0.7915,3.33,990.08
Bank of Maharashtra,2023-05-01 00:00:00,0.9249,0.0504,0.0247,0.5066,0.36,104.95
Karur Vysya Bank,2024-08-01 00:00:00,0.9249,0.0622,0.013,0.7466,0.42,74.18
Bank of Baroda,2022-07-01 00:00:00,0.9249,0.0645,0.0106,0.9055,2.25,405.95
Bank of Baroda,2024-05-01 00:00:00,0.9249,0.0656,0.0095,0.8438,4.5,930.35
Punjab National Bank,2022-01-01 00:00:00,0.9249,0.069,0.0061,0.9003,1.67,213.48
Fino Payments Bank,2024-06-01 00:00:00,0.9249,0.0716,0.0036,0.6782,0.67,140.81
Sarva Haryana Gramin Bank,2024-03-01 00:00:00,0.925,0.07,0.005,0.8222,0.11,17.71
Punjab National Bank,2022-08-01 00:00:00,0.9251,0.0588,0.0161,84.24,2.37,305.33
City Union Bank,2022-12-01 00:00:00,0.9251,0.0651,0.0098,0.8401,0.14,24.42
Equitas Bank,2024-10-01 00:00:00,0.9252,0.0745,0.0003,0.9783,0.12,34.5
Karnataka Bank,2023-07-01 00:00:00,0.9253,0.0569,0.0177,1,0.198716,80.33
Karnataka Bank,2022-03-01 00:00:00,0.9254,0.066,0.0085,0.4743,0.38,50.49
Bank of Maharashtra,2024-11-01 00:00:00,0.9254,0.0731,0.0015,0.8966,0.49,167.64
Bank of Baroda,2024-10-01 00:00:00,0.9254,0.0741,0.0006,0.979,3.5,1116.59
Bank of Maharashtra,2022-08-01 00:00:00,0.9255,0.0541,0.0204,62.1,0.33,79.97
South Indian Bank,2022-06-01 00:00:00,0.9255,0.0606,0.0139,0.9531,0.17,24.62
Canara Bank,2024-10-01 00:00:00,0.9255,0.0716,0.0029,0.8926,3.31,795.21
Equitas Bank,2024-05-01 00:00:00,0.9255,0.0718,0.0027,0.8561,0.15,33.53
Equitas Bank,2023-11-01 00:00:00,0.9255,0.0739,0.0006,0.98,0.08,26.5
City Union Bank,2022-10-01 00:00:00,0.9256,0.0656,0.0088,0.9099,0.91,22.2
Karnataka Bank,2024-07-01 00:00:00,0.9256,0.0717,0.0027,0.7911,0.48,113.52
City Union Bank,2024-11-01 00:00:00,0.9256,0.0728,0.0016,0.9952,0.1,44.74
Bandhan Bank,2023-12-01 00:00:00,0.9257,0.0671,0.0072,0.9839,0.2,47.39
Karur Vysya Bank,2022-04-01 00:00:00,0.9257,0.0728,0.0015,0.9395,0.18,32.79
RBL,2023-06-01 00:00:00,0.9258,0.0625,0.0117,0.8821,0.04,12.07
IDFC First Bank,2022-12-01 00:00:00,0.9259,0.0595,0.0146,0.8255,0.31,66.27
Federal Bank,2024-10-01 00:00:00,0.9259,0.071,0.0031,0.9763,0.69,238.16
South Indian Bank,2022-01-01 00:00:00,0.9259,0.0717,0.0024,0.9571,0.08,19.31
Fino Payments Bank,2024-05-01 00:00:00,0.9259,0.0719,0.0022,0.753,0.66,140.12
Kotak Mahindra Bank,2024-07-01 00:00:00,0.9259,0.0722,0.0019,0.7821,2.58,746.29
Fino Payments Bank,2024-07-01 00:00:00,0.9259,0.0723,0.0018,0.785,0.68,145.95
Indian Bank,2022-08-01 00:00:00,0.926,0.0632,0.0109,85.8,0.79,170.2
YES Bank,2022-12-01 00:00:00,0.926,0.0672,0.0068,0.944,0.31,48.46
DBS Bank,2024-10-01 00:00:00,0.926,0.0725,0.0015,0.8746,0.11,30.17
Karnataka Bank,2024-04-01 00:00:00,0.9261,0.0633,0.0105,0.7486,0.62,105.44
State Bank of India,2023-10-01 00:00:00,0.9262,0.0445,0.0293,0.89,29.12,2930.95
Karnataka Bank,2024-10-01 00:00:00,0.9263,0.0687,0.005,0.841,0.48,126.09
Tamilnad Mercantile Bank,2024-09-01 00:00:00,0.9263,0.0701,0.0036,0.7815,0.14,41.41
Axis Bank,2022-08-01 00:00:00,0.9264,0.0657,0.0079,57.96,0.89,339.15
Sarva Haryana Gramin Bank,2024-01-01 00:00:00,0.9264,0.0689,0.0047,0.6036,0.11,14.96
IndusInd Bank,2022-09-01 00:00:00,0.9265,0.0692,0.0043,0.8422,0.27,61.95
Indian Overseas Bank,2024-03-01 00:00:00,0.9266,0.0492,0.0242,0.9157,1.21,188.01
Canara Bank,2022-12-01 00:00:00,0.9266,0.0685,0.0049,0.9323,2.62,361
IDFC First Bank,2022-01-01 00:00:00,0.9269,0.0607,0.0124,0.3294,0.36,27.57
Karur Vysya Bank,2024-11-01 00:00:00,0.927,0.0711,0.0019,0.9576,0.21,76.29
UCO Bank,2022-08-01 00:00:00,0.9271,0.0614,0.0115,71.55,0.36,75.13
Bank of Baroda,2022-05-01 00:00:00,0.9271,0.067,0.0059,0.8941,2.42,387.88
Indian Bank,2023-03-01 00:00:00,0.9272,0.055,0.0178,0.731,1.52,236.53
IDBI Bank,2024-01-01 00:00:00,0.9273,0.0428,0.0298,0.814,1.31,141.57
Punjab National Bank,2022-02-01 00:00:00,0.9273,0.06,0.0127,0.8038,2.57,207.63
Kotak Mahindra Bank,2022-08-01 00:00:00,0.9274,0.0564,0.0161,95.29,1.17,286.52
Bank of Baroda,2022-03-01 00:00:00,0.9274,0.069,0.0036,0.9954,1.97,349.91
Ujjivan Small Finance Bank,2024-01-01 00:00:00,0.9275,0.0566,0.0159,0.5305,0.29,38.33
IDFC First Bank,2022-07-01 00:00:00,0.9275,0.0568,0.0157,0.5488,0.32,42.82
Karur Vysya Bank,2023-03-01 00:00:00,0.9275,0.0671,0.0054,0.8819,0.18,45.86
AU Small Finance Bank,2024-04-01 00:00:00,0.9276,0.0619,0.0105,0.8329,0.3,45.86
IndusInd Bank,2024-03-01 00:00:00,0.9276,0.0676,0.0047,0.927,0.91,142.64
Punjab and Sind Bank,2024-05-01 00:00:00,0.9276,0.0689,0.0036,0.8265,0.19,38.16
Tamilnad Mercantile Bank,2024-01-01 00:00:00,0.9276,0.0699,0.0026,0.9237,0.11,32.19
Fino Payments Bank,2024-10-01 00:00:00,0.9276,0.0717,0.0007,0.9478,0.79,173.06
Equitas Bank,2024-04-01 00:00:00,0.9277,0.0715,0.0007,0.9609,0.15,32.32
AU Small Finance Bank,2022-01-01 00:00:00,0.9278,0.0636,0.0086,0.0003,0.11,10.33
City Union Bank,2023-01-01 00:00:00,0.9278,0.0638,0.0084,0.9729,0.11,24.81
City Union Bank,2024-08-01 00:00:00,0.9278,0.0673,0.0049,0.9677,0.14,44.59
Fino Payments Bank,2024-08-01 00:00:00,0.9278,0.0683,0.0039,0.7349,0.88,151.38
Karnataka Bank,2024-08-01 00:00:00,0.9278,0.0701,0.0021,0.812,0.39,117.67
Indian Bank,2024-11-01 00:00:00,0.9278,0.0705,0.0017,0.8418,1.58,484.6
City Union Bank,2022-11-01 00:00:00,0.9279,0.0628,0.0093,0.6469,0.15,22.51
AU Small Finance Bank,2022-05-01 00:00:00,0.9279,0.0648,0.0073,0.0004,0.1,14.66
Fino Payments Bank,2024-09-01 00:00:00,0.9279,0.0709,0.0012,0.9032,0.62,154.66
Kotak Mahindra Bank,2023-06-01 00:00:00,0.928,0.0485,0.0234,0.7273,1.35,436.37
UCO Bank,2022-07-01 00:00:00,0.928,0.0635,0.0084,0.7432,0.5,70.69
City Union Bank,2024-04-01 00:00:00,0.928,0.0691,0.0029,0.9558,0.14,39.67
City Union Bank,2024-07-01 00:00:00,0.928,0.0694,0.0026,0.9014,0.12,43.4
Punjab National Bank,2023-01-01 00:00:00,0.9281,0.0557,0.0162,0.5326,3.46,364.04
Indian Overseas Bank,2022-02-01 00:00:00,0.9281,0.0594,0.0125,0.7203,0.82,56.56
Kotak Mahindra Bank,2022-03-01 00:00:00,0.9282,0.0565,0.0153,0.8921,2.9,224.76
State Bank of India,2022-11-01 00:00:00,0.9282,0.063,0.0088,0.804,8.51,1951.85
Fino Payments Bank,2024-11-01 00:00:00,0.9282,0.0706,0.0012,0.9058,0.69,161.47
Karnataka Bank,2024-03-01 00:00:00,0.9283,0.0607,0.011,0.7109,0.61,106.23
RBL,2023-07-01 00:00:00,0.9283,0.0614,0.0103,0.9995,0.045407,12.63
South Indian Bank,2022-04-01 00:00:00,0.9283,0.0643,0.0074,0.9712,0.19,22.87
Kotak Mahindra Bank,2024-05-01 00:00:00,0.9283,0.0678,0.0039,0.6374,3.56,746.83
IndusInd Bank,2022-12-01 00:00:00,0.9284,0.0617,0.0099,0.6975,0.53,72.7
Kerala Gramin Bank,2024-03-01 00:00:00,0.9284,0.062,0.0096,0.52,0.15,27.13
UCO Bank,2022-02-01 00:00:00,0.9284,0.063,0.0086,0.6459,0.51,48.24
IDFC First Bank,2022-02-01 00:00:00,0.9284,0.0633,0.0083,0.5643,0.23,26.84
City Union Bank,2023-05-01 00:00:00,0.9284,0.0647,0.0069,0.9082,0.09,27.91
Sarva Haryana Gramin Bank,2023-09-01 00:00:00,0.9284,0.068,0.0036,0.95,0.04,13.27
The Jammu And Kashmir Bank,2024-09-01 00:00:00,0.9285,0.0524,0.019,0.2828,0.76,69.03
Canara Bank,2024-06-01 00:00:00,0.9285,0.0643,0.0072,0.9738,2.57,657.78
AU Small Finance Bank,2022-06-01 00:00:00,0.9286,0.0638,0.0076,0.0012,0.1,14.75
Punjab National Bank,2022-03-01 00:00:00,0.9287,0.0611,0.0102,0.8195,2.17,248.39
Karur Vysya Bank,2023-07-01 00:00:00,0.9287,0.0611,0.0102,1,0.166862,50.34
Canara Bank,2024-05-01 00:00:00,0.9287,0.0615,0.0098,0.7209,5.16,670.33
Bank of Baroda,2024-09-01 00:00:00,0.9287,0.0701,0.0011,0.9859,2.75,996.46
Bank of Maharashtra,2023-04-01 00:00:00,0.9288,0.0444,0.0268,0.7306,0.57,101.34
Bandhan Bank,2024-09-01 00:00:00,0.9288,0.0545,0.0167,0.767,0.4,68.05
City Union Bank,2024-09-01 00:00:00,0.9288,0.0654,0.0058,0.9024,0.16,44.3
Canara Bank,2022-02-01 00:00:00,0.9288,0.0672,0.0039,0.8679,1.31,204.75
City Union Bank,2023-02-01 00:00:00,0.9289,0.0625,0.0086,0.9483,0.1,23.61
IDFC First Bank,2024-04-01 00:00:00,0.9289,0.0698,0.0013,0,0,83.34
IDFC First Bank,2024-05-01 00:00:00,0.9289,0.0706,0.0004,0.9396,0.27,87.12
Bank of India,2022-02-01 00:00:00,0.929,0.0519,0.0191,0.4586,2.21,166.31
Kotak Mahindra Bank,2022-02-01 00:00:00,0.929,0.0567,0.0144,0.8389,2.46,187.06
City Union Bank,2024-05-01 00:00:00,0.929,0.0673,0.0037,0.9912,0.14,41.63
Bank of Baroda,2023-02-01 00:00:00,0.9292,0.0581,0.0128,0.8816,2.83,502.38
IndusInd Bank,2023-12-01 00:00:00,0.9292,0.0612,0.0097,0.8804,0.76,120.3
The Jammu And Kashmir Bank,2024-08-01 00:00:00,0.9293,0.0502,0.0206,0.3142,0.84,69.35
YES Bank,2024-04-01 00:00:00,0.9293,0.0653,0.0053,0.7606,0.41,106.01
DBS Bank,2022-01-01 00:00:00,0.9294,0.0577,0.0129,0.5346,0.14,17.27
Bank of Maharashtra,2024-07-01 00:00:00,0.9294,0.0591,0.0115,0.6444,1.18,155.62
Bank of Maharashtra,2024-10-01 00:00:00,0.9294,0.0664,0.0042,0.7693,0.76,187.72
Karnataka Bank,2023-12-01 00:00:00,0.9295,0.0548,0.0157,0.5269,0.54,96.35
Bank of Baroda,2022-09-01 00:00:00,0.9295,0.068,0.0024,0.9738,1.69,450.27
Punjab National Bank,2024-04-01 00:00:00,0.9296,0.0593,0.0111,0.8301,4.1,741.9
Equitas Bank,2024-09-01 00:00:00,0.9296,0.0698,0.0006,0.9527,0.11,32.2
Kerala Gramin Bank,2024-05-01 00:00:00,0.9297,0.0566,0.0137,0.6206,0.16,29.05
Axis Bank,2022-07-01 00:00:00,0.9297,0.0605,0.0097,0.7512,1.41,328.07
Indian Overseas Bank,2024-06-01 00:00:00,0.9298,0.0554,0.0148,0.9872,0.86,197.11
Bank of Maharashtra,2022-12-01 00:00:00,0.9299,0.0478,0.0223,0.5395,0.76,93.22
ESAF Small Finance Bank Ltd,2023-08-01 00:00:00,0.9299,0.0508,0.0193,0.64,0.07,16.63
Bandhan Bank,2024-06-01 00:00:00,0.9299,0.0611,0.009,0.0432,0.31,59.26
IDFC First Bank,2024-03-01 00:00:00,0.9299,0.0672,0.0028,0.8251,0.39,83.3
Karur Vysya Bank,2024-10-01 00:00:00,0.9299,0.0672,0.0029,0.9392,0.31,79.62
Bank of Baroda,2023-01-01 00:00:00,0.93,0.0612,0.0087,0.8299,2.83,522.75
Union Bank of India,2023-01-01 00:00:00,0.93,0.066,0.004,0.8166,2.31,500.43
Tamilnad Mercantile Bank,2023-09-01 00:00:00,0.9301,0.0504,0.0195,0.51,0.12,27.64
Punjab National Bank,2022-05-01 00:00:00,0.9301,0.063,0.0069,0.9179,1.58,277.91
Tamilnad Mercantile Bank,2024-02-01 00:00:00,0.9301,0.0645,0.0054,0.8451,0.12,32.68
Bank of India,2022-01-01 00:00:00,0.9302,0.0538,0.016,0.504,1.82,171.56
South Indian Bank,2022-12-01 00:00:00,0.9302,0.0539,0.0159,0.8988,0.15,34
Sarva Haryana Gramin Bank,2024-02-01 00:00:00,0.9302,0.0695,0.0003,0.9568,0.06,14.14
Indian Overseas Bank,2022-04-01 00:00:00,0.9303,0.0564,0.0133,0.7612,0.8,70.22
UCO Bank,2023-01-01 00:00:00,0.9303,0.0603,0.0094,0.6802,0.61,92.46
Karur Vysya Bank,2023-06-01 00:00:00,0.9303,0.0688,0.0009,0.921,0.11,47.09
IndusInd Bank,2022-07-01 00:00:00,0.9304,0.0664,0.0033,0.9726,0.29,56.37
Bank of Baroda,2022-08-01 00:00:00,0.9304,0.0682,0.0013,98.78,1.68,432.55
City Union Bank,2024-10-01 00:00:00,0.9304,0.0683,0.0014,0.9975,0.13,47.69
Equitas Bank,2024-01-01 00:00:00,0.9304,0.0696,0,0.9783,0.11,28.56
CITI Bank,2024-06-01 00:00:00,0.9305,0.0669,0.0026,0.827,0.24,40.87
IndusInd Bank,2022-08-01 00:00:00,0.9305,0.0675,0.002,96.89,0.26,59.38
IDBI Bank,2024-11-01 00:00:00,0.9305,0.0679,0.0016,0.9158,0.57,171.56
IndusInd Bank,2024-01-01 00:00:00,0.9306,0.0597,0.0097,0.9866,0.68,125.63
IDFC First Bank,2024-06-01 00:00:00,0.9306,0.0688,0.0006,0.6883,0.44,85.74
Federal Bank,2022-01-01 00:00:00,0.9307,0.0539,0.0155,0.7118,0.55,62.84
Punjab National Bank,2022-06-01 00:00:00,0.9308,0.063,0.0062,0.9465,1.51,274.44
RBL,2023-04-01 00:00:00,0.9308,0.0636,0.0055,0.7251,0.06,12.05
Punjab National Bank,2022-04-01 00:00:00,0.9309,0.0605,0.0086,0.857,2.36,261.09
Equitas Bank,2024-02-01 00:00:00,0.9309,0.0687,0.0004,0.9646,0.13,28.88
Equitas Bank,2023-12-01 00:00:00,0.9309,0.0689,0.0002,0.9707,0.1,28.13
Kotak Mahindra Bank,2024-02-01 00:00:00,0.931,0.0548,0.0142,0.8584,2.22,609.79
Indian Overseas Bank,2022-03-01 00:00:00,0.931,0.0568,0.0121,0.7653,0.53,66.95
Canara Bank,2024-08-01 00:00:00,0.9311,0.0611,0.0078,0.8539,3.27,722.42
State Bank of India,2024-11-01 00:00:00,0.9311,0.0632,0.0057,0.9524,11.62,4182.13
Indian Overseas Bank,2024-11-01 00:00:00,0.9311,0.0667,0.0022,0.912,0.88,232.93
Karnataka Bank,2024-06-01 00:00:00,0.9312,0.0642,0.0046,0.3588,0.5,108.5
Union Bank of India,2024-04-01 00:00:00,0.9313,0.0528,0.0159,0.4538,7.04,837.24
Bandhan Bank,2024-03-01 00:00:00,0.9313,0.059,0.0097,0.9834,0.3,54.03
Canara Bank,2023-02-01 00:00:00,0.9313,0.0621,0.0066,0.8396,2.21,354.92
UCO Bank,2022-06-01 00:00:00,0.9313,0.0626,0.0061,0.7601,0.43,65.98
Bank of Maharashtra,2024-04-01 00:00:00,0.9314,0.0547,0.0139,0.7196,0.97,151.41
AU Small Finance Bank,2022-12-01 00:00:00,0.9314,0.0581,0.0105,0.8871,0.09,21.24
Punjab and Sind Bank,2024-01-01 00:00:00,0.9314,0.061,0.0076,0.735,0.2,30.87
Bandhan Bank,2023-06-01 00:00:00,0.9315,0.0544,0.0141,0.5831,0.28,38.12
Bank of India,2024-05-01 00:00:00,0.9316,0.0516,0.0168,0.6176,2.77,454.54
Union Bank of India,2024-09-01 00:00:00,0.9316,0.0636,0.0047,0.53,4.67,928.3
RBL,2023-02-01 00:00:00,0.9316,0.0649,0.0035,0.9527,0.04,10.51
Tamilnad Mercantile Bank,2023-03-01 00:00:00,0.9316,0.066,0.0024,0.8405,0.07,22.69
Union Bank of India,2024-10-01 00:00:00,0.9316,0.0669,0.0015,0.8601,3.77,1043.89
Federal Bank,2022-06-01 00:00:00,0.9317,0.0593,0.009,0.9669,0.4,96.37
Bank of Baroda,2023-08-01 00:00:00,0.9318,0.0519,0.0163,0.8,2.49,695.99
City Union Bank,2023-06-01 00:00:00,0.9318,0.0625,0.0057,0.9482,0.08,27.66
Karur Vysya Bank,2024-07-01 00:00:00,0.9318,0.0638,0.0044,0.8914,0.28,71.96
Bank of Baroda,2022-04-01 00:00:00,0.9318,0.0651,0.0031,0.9894,1.98,360.74
UCO Bank,2024-03-01 00:00:00,0.9319,0.059,0.0091,0.5758,1.34,171.87
Bank of Maharashtra,2023-09-01 00:00:00,0.932,0.0499,0.0181,0.59,0.6,114.21
Bank of Maharashtra,2022-07-01 00:00:00,0.932,0.0543,0.0136,0.842,0.56,77.46
UCO Bank,2022-12-01 00:00:00,0.932,0.061,0.007,0.8082,0.47,89.57
Karnataka Bank,2023-06-01 00:00:00,0.9321,0.0509,0.017,0.8881,0.18,76.27
Bank of Maharashtra,2024-06-01 00:00:00,0.9321,0.0577,0.0101,0.6469,0.71,150.89
Canara Bank,2023-01-01 00:00:00,0.9321,0.0632,0.0047,0.8622,1.78,369.95
Indian Overseas Bank,2022-06-01 00:00:00,0.9323,0.0564,0.0113,0.9329,0.6,76.9
Canara Bank,2024-09-01 00:00:00,0.9323,0.0632,0.0044,0.9172,2.5,724.35
Sarva Haryana Gramin Bank,2024-10-01 00:00:00,0.9323,0.0641,0.0036,0.8726,0.09,21.22
Indian Overseas Bank,2024-04-01 00:00:00,0.9324,0.0502,0.0174,0.8965,1.25,187.73
Bandhan Bank,2024-08-01 00:00:00,0.9324,0.0573,0.0103,0.9093,0.29,66.15
Karnataka Bank,2024-05-01 00:00:00,0.9324,0.0647,0.0029,0.8419,0.41,110.31
Indian Bank,2023-07-01 00:00:00,0.9327,0.0486,0.0186,1,1.220299,276.75
IDBI Bank,2024-03-01 00:00:00,0.9327,0.0526,0.0147,0.7017,0.99,151.7
Bandhan Bank,2024-07-01 00:00:00,0.9327,0.0564,0.011,0.9654,0.26,63.78
Tamilnad Mercantile Bank,2023-04-01 00:00:00,0.9327,0.0631,0.0042,0.5686,0.08,22.61
IDFC First Bank,2024-07-01 00:00:00,0.9327,0.0662,0.0011,0.7012,0.36,87.5
Bank of Baroda,2024-06-01 00:00:00,0.9328,0.0639,0.0033,0.9954,4.43,912.47
Federal Bank,2022-05-01 00:00:00,0.9329,0.0605,0.0066,0.9003,0.44,93.99
City Union Bank,2023-08-01 00:00:00,0.933,0.0615,0.0054,0.81,0.12,31.4
Bank of Baroda,2024-03-01 00:00:00,0.933,0.0625,0.0045,0.9649,4.4,882.82
UCO Bank,2023-04-01 00:00:00,0.9331,0.0579,0.009,0.7433,0.51,106.14
Ujjivan Small Finance Bank,2023-03-01 00:00:00,0.9331,0.0633,0.0035,0.7552,0.12,24.53
AU Small Finance Bank,2022-07-01 00:00:00,0.9331,0.0644,0.0026,0,0,15.99
AU Small Finance Bank,2022-10-01 00:00:00,0.9332,0.0625,0.0042,0.799,0.8,19.57
Karur Vysya Bank,2023-04-01 00:00:00,0.9332,0.063,0.0038,0.9395,0.18,45.52
Kotak Mahindra Bank,2023-05-01 00:00:00,0.9333,0.0494,0.0172,0.8334,1.07,445.82
Bank of Maharashtra,2024-09-01 00:00:00,0.9333,0.0637,0.003,0.7266,0.6,165
Bank of Maharashtra,2024-08-01 00:00:00,0.9333,0.0641,0.0025,0.8469,0.53,163.62
Indian Bank,2022-06-01 00:00:00,0.9334,0.0609,0.0057,0.9335,0.63,151.58
Indian Bank,2022-12-01 00:00:00,0.9335,0.0578,0.0088,0.9707,0.89,206.07
City Union Bank,2023-09-01 00:00:00,0.9335,0.0624,0.0041,0.92,0.1,31.47
Karnataka Bank,2024-09-01 00:00:00,0.9335,0.0647,0.0018,0.8955,0.35,117.35
Bandhan Bank,2024-11-01 00:00:00,0.9336,0.0509,0.0155,0.8849,0.39,70.96
Kotak Mahindra Bank,2023-02-01 00:00:00,0.9336,0.0526,0.0138,0.6632,1.7,358.4
City Union Bank,2024-02-01 00:00:00,0.9336,0.0621,0.0043,0.9829,0.14,36.62
AU Small Finance Bank,2022-02-01 00:00:00,0.9336,0.0638,0.0026,0.0002,0.08,10.51
State Bank of India,2023-04-01 00:00:00,0.9337,0.0469,0.0194,0.9568,8.38,2298.06
IndusInd Bank,2024-02-01 00:00:00,0.9337,0.0592,0.0071,0.953,0.91,129.68
Bank of Baroda,2022-10-01 00:00:00,0.9337,0.0632,0.003,0.961,0.96,478.92
Bank of Baroda,2023-04-01 00:00:00,0.9337,0.0635,0.0028,0.9894,1.98,589.97
UCO Bank,2024-06-01 00:00:00,0.9338,0.0635,0.0027,0.651,0.84,184.42
Indian Bank,2023-02-01 00:00:00,0.9339,0.0511,0.0149,0.6772,1.49,202.78
ESAF Small Finance Bank Ltd,2023-07-01 00:00:00,0.9339,0.0561,0.0099,1,0.053937,15.21
Canara Bank,2024-04-01 00:00:00,0.9339,0.0595,0.0066,0.7205,4.15,642.1
Ujjivan Small Finance Bank,2023-05-01 00:00:00,0.9339,0.0596,0.0065,0.6457,0.08,26.7
Karur Vysya Bank,2024-06-01 00:00:00,0.9339,0.0614,0.0047,0.778,0.4,67.93
Canara Bank,2024-07-01 00:00:00,0.9341,0.0623,0.0036,0.7071,3.78,688.87
Indian Bank,2024-10-01 00:00:00,0.9341,0.0642,0.0018,0.872,1.87,513.28
AU Small Finance Bank,2024-05-01 00:00:00,0.9342,0.0575,0.0083,0.7677,0.25,47.67
Karnataka Bank,2024-02-01 00:00:00,0.9342,0.0576,0.0082,0.8409,0.41,95.34
Sarva Haryana Gramin Bank,2024-11-01 00:00:00,0.9342,0.0614,0.0044,0.6848,0.11,20.09
IndusInd Bank,2023-11-01 00:00:00,0.9343,0.0586,0.0071,0.94,0.4,112
UCO Bank,2022-04-01 00:00:00,0.9343,0.0613,0.0045,0.7433,0.51,61.14
Punjab National Bank,2022-12-01 00:00:00,0.9344,0.0553,0.0103,0.9235,1.32,354.8
Indian Overseas Bank,2022-07-01 00:00:00,0.9344,0.0554,0.0102,0.9545,0.55,81.55
Ujjivan Small Finance Bank,2023-04-01 00:00:00,0.9344,0.0605,0.0052,0.5564,0.15,25.3
Canara Bank,2022-10-01 00:00:00,0.9344,0.064,0.0016,0.9197,0.92,323.12
HDFC Bank,2022-08-01 00:00:00,0.9345,0.0547,0.0107,94.1,3.44,594.28
Federal Bank,2022-12-01 00:00:00,0.9345,0.0649,0.0006,0.814,1.06,131.59
Bank of Baroda,2024-02-01 00:00:00,0.9346,0.0551,0.0103,0.9007,3.8,786.15
Indian Bank,2022-10-01 00:00:00,0.9346,0.0558,0.0096,0.8019,0.8,185.22
Bank of Maharashtra,2022-04-01 00:00:00,0.9346,0.0564,0.009,0.7306,0.57,71.17
