UPI_Remitter_Banks,Date,Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Debit_Reversal_Success_percent,Total_Debit_Reversal_Count_In_Million,Total_Volume_In_Million
Andhra Pragathi Grameena Bank,2024-11-01 00:00:00,0.8333,0.1078,0.0589,0.5399,0.38,21.61
Rajasthan Marudhara Gramin Bank,2024-03-01 00:00:00,0.8335,0.1187,0.0478,0.41,0.29,24.86
Karnataka Vikas Grameena Bank,2022-07-01 00:00:00,0.8341,0.1424,0.0234,0,0.01,6.78
ESAF Small Finance Bank Ltd,2022-08-01 00:00:00,0.8348,0.1405,0.0248,63.49,0.05,10.54
Andhra Pragathi Grameena Bank,2023-01-01 00:00:00,0.835,0.1364,0.0286,0.1405,0.13,9.99
Equitas Bank,2022-01-01 00:00:00,0.835,0.1572,0.0078,0.8294,0.1,13.53
Airtel Payments Bank,2023-01-01 00:00:00,0.8353,0.1588,0.0059,0.9711,0.83,173.73
Karnataka Bank,2022-06-01 00:00:00,0.8356,0.0695,0.0949,0.1385,1.24,55.02
Andhra Pragathi Grameena Bank,2024-05-01 00:00:00,0.8362,0.13,0.0338,0.2298,0.28,18.23
Andhra Pragathi Grameena Bank,2024-09-01 00:00:00,0.8363,0.1169,0.0468,0.2701,0.27,18.96
Punjab and Sind Bank,2022-12-01 00:00:00,0.8364,0.0977,0.0659,0.6749,0.17,20.12
Equitas Bank,2022-02-01 00:00:00,0.8373,0.1531,0.0096,0.7893,0.12,13.88
Equitas Bank,2022-05-01 00:00:00,0.8381,0.1522,0.0097,0.7892,0.11,18.85
Andhra Pradesh Grameena Vikas Bank,2024-02-01 00:00:00,0.8385,0.1519,0.0096,0.65,0.14,26.19
Pragathi Krishna Gramin Bank,2022-09-01 00:00:00,0.839,0.1218,0.0392,0.7267,0.13,15.28
Maharashtra Gramin Bank,2023-09-01 00:00:00,0.8393,0.1209,0.0398,0.54,0.08,19.6
Baroda U.P. Bank,2023-07-01 00:00:00,0.8394,0.0879,0.0727,1,0.038648,13.14
ESAF Small Finance Bank Ltd,2023-03-01 00:00:00,0.84,0.1503,0.0097,0.8229,0.05,14.58
Baroda U.P. Bank,2022-10-01 00:00:00,0.8401,0.1099,0.0501,0.4632,0.46,7.82
Fincare Small Finance Bank,2023-04-01 00:00:00,0.841,0.1108,0.0482,0.2826,0.02,9.21
Rajasthan Marudhara Gramin Bank,2024-10-01 00:00:00,0.8414,0.1095,0.0491,0.2664,0.37,29.28
Pragathi Krishna Gramin Bank,2022-12-01 00:00:00,0.8414,0.1376,0.021,0.4099,0.19,16.46
Andhra Pradesh Grameena Vikas Bank,2024-03-01 00:00:00,0.8418,0.1267,0.0315,0.5653,0.3,28.83
ESAF Small Finance Bank Ltd,2022-12-01 00:00:00,0.8418,0.1367,0.0215,0.8466,0.11,12.97
Punjab and Sind Bank,2023-05-01 00:00:00,0.8429,0.085,0.0721,0.2701,0.13,23.51
Baroda U.P. Bank,2023-03-01 00:00:00,0.8429,0.132,0.0251,0.3816,0.12,10.54
ESAF Small Finance Bank Ltd,2022-01-01 00:00:00,0.843,0.1188,0.0381,0.758,0.05,6.81
Fino Payments Bank,2022-05-01 00:00:00,0.843,0.1285,0.0285,0.6158,0.38,34.39
Equitas Bank,2022-04-01 00:00:00,0.8438,0.1527,0.0035,0.9437,0.11,16.93
Fino Payments Bank,2023-08-01 00:00:00,0.8439,0.1435,0.0126,0.72,0.34,94.61
India Post Payment Bank,2023-07-01 00:00:00,0.8445,0.114,0.0415,0.8556,0.788979,175.71
Bandhan Bank,2022-03-01 00:00:00,0.8446,0.1218,0.0335,0.1111,0.3,23.4
India Post Payment Bank,2023-11-01 00:00:00,0.8448,0.1319,0.0233,0.53,1.17,226.01
Andhra Pragathi Grameena Bank,2024-03-01 00:00:00,0.8452,0.1338,0.021,0.5368,0.14,17.33
ESAF Small Finance Bank Ltd,2022-07-01 00:00:00,0.8455,0.1331,0.0213,0,0.01,9.77
Jammu and Kashmir Bank,2022-03-01 00:00:00,0.8456,0.1046,0.0497,0.3454,0.23,12.45
Baroda Rajasthan Kshetriya Gramin Bank,2022-04-01 00:00:00,0.8459,0.1127,0.0414,0.6314,0.05,6.28
Baroda U.P. Bank,2024-07-01 00:00:00,0.8461,0.0914,0.0625,0.19,0.58,23.44
NSDL Payments Bank,2024-10-01 00:00:00,0.8464,0.1155,0.0381,0.0394,0.37,24.07
Equitas Bank,2023-01-01 00:00:00,0.8467,0.13,0.0233,0.6432,0.14,23.44
Jio Payments Bank,2024-07-01 00:00:00,0.8471,0.1355,0.0175,0.9431,0.21,18.37
NSDL Payments Bank,2024-08-01 00:00:00,0.8473,0.1181,0.0347,0.171,0.27,18.11
India Post Payment Bank,2024-07-01 00:00:00,0.8474,0.1289,0.0238,0.5395,2.23,336.13
Maharashtra Gramin Bank,2024-01-01 00:00:00,0.8476,0.1098,0.0426,0.581,0.12,22.84
Karnataka Gramin Bank,2024-08-01 00:00:00,0.8479,0.0738,0.0783,0.5055,0.84,30.19
Jio Payments Bank,2024-06-01 00:00:00,0.848,0.1161,0.0359,0.4765,0.11,16.8
Maharashtra Gramin Bank,2023-08-01 00:00:00,0.848,0.1266,0.0254,0.77,0.05,19.77
Andhra Pradesh Grameena Vikas Bank,2023-01-01 00:00:00,0.8481,0.1132,0.0387,0.4479,0.11,17.28
Kerala Gramin Bank,2022-05-01 00:00:00,0.8487,0.1183,0.0329,0.588,0.1,8.98
