Sr_No,UPI_Beneficiary_Banks,Date,Approved_percent,Deemed_Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Total_Volume_In_Mn
28,Bandhan Bank,2023-01-01 00:00:00,0.9422,0.0033,0.0048,0.0497,21.74
27,Bandhan Bank,2022-08-01 00:00:00,0.9423,0.0035,0.0043,0.0534,19.07
23,RBL,2024-02-01 00:00:00,0.9424,0.0049,0.0042,0.0534,52.57
50,Karnataka Vikas Grameena Bank,2022-03-01 00:00:00,0.9424,0.0209,0.0156,0.0211,3.56
28,Fino Payments Bank,2022-04-01 00:00:00,0.9424,0.0013,0.0254,0.0308,12.77
36,Jammu and Kashmir Bank,2023-04-01 00:00:00,0.9425,0.0008,0.0043,0.0524,11.47
14,Indian Bank,2022-03-01 00:00:00,0.9425,0.013,0.0318,0.0127,69.66
33,Ujjivan Small Finance Bank,2022-12-01 00:00:00,0.9427,0.006,0.0029,0.0484,12.02
34,Ujjivan Small Finance Bank,2022-05-01 00:00:00,0.9432,0.0083,0.0031,0.0454,9.4
24,Karnataka Bank,2022-10-01 00:00:00,0.9435,0.0082,0.007,0.0414,30.03
49,Baroda Rajasthan Kshetriya Gramin Bank,2022-04-01 00:00:00,0.9438,0.0034,0.022,0.0309,3.73
48,Sarva Haryana Gramin Bank,2023-05-01 00:00:00,0.944,0.008,0.0046,0.0434,5.94
47,Andhra Pragathi Grameena Bank,2022-11-01 00:00:00,0.9446,0.0041,0.0155,0.0358,5.39
33,Ujjivan Small Finance Bank,2022-10-01 00:00:00,0.9452,0.0029,0.0028,0.0491,11.2
23,Karnataka Bank,2022-05-01 00:00:00,0.9452,0.0102,0.0068,0.0378,29.4
7,Bank of Baroda,2022-12-01 00:00:00,0.9455,0.0048,0.0038,0.0459,249.01
50,Baroda Rajasthan Kshetriya Gramin Bank,2023-04-01 00:00:00,0.9455,0.0167,0.0261,0.0117,4.81
30,Fino Payments Bank,2022-01-01 00:00:00,0.9459,0.0006,0.0354,0.0181,9.41
35,Punjab and Sind Bank,2022-12-01 00:00:00,0.946,0.0034,0.0021,0.0485,9.67
46,Andhra Pragathi Grameena Bank,2022-02-01 00:00:00,0.9463,0.0179,0.0143,0.0215,4.04
43,Tri O Tech Solutions Private Limited,2023-11-01 00:00:00,0.9464,0.0001,0.0532,0.0004,13.88
50,Baroda Rajasthan Kshetriya Gramin Bank,2023-03-01 00:00:00,0.9468,0.005,0.0249,0.0233,4.82
34,Equitas Bank,2022-10-01 00:00:00,0.9469,0.0067,0.0171,0.0293,10.73
42,Jammu and Kashmir Bank,2022-03-01 00:00:00,0.9471,0.0024,0.0218,0.0287,5.29
39,Punjab and Sind Bank,2022-02-01 00:00:00,0.948,0.0073,0.004,0.0407,5.26
15,Airtel Payments Bank,2022-10-01 00:00:00,0.9481,0.0117,0.0047,0.0355,83.12
45,Andhra Pragathi Grameena Bank,2022-01-01 00:00:00,0.9482,0.0231,0.0029,0.0257,4.12
15,Airtel Payments Bank,2022-11-01 00:00:00,0.9482,0.0137,0.0043,0.0337,84.21
40,Karnataka Gramin Bank,2024-08-01 00:00:00,0.9483,0.0226,0.0091,0.0426,13.94
44,Baroda U.P. Bank,2024-07-01 00:00:00,0.9484,0.0172,0.003,0.0486,11.74
